Action|Reward|In Progress
1|3.3157894736842106|True
1|3.2105263157894735|True
1|3.2105263157894735|True
1|3.2105263157894735|True
3|4.2105263157894735|True
1|4.368421052631579|True
0|4.368421052631579|True
1|0|True
3|0|True
2|3.5789473684210527|True
1|1.263157894736842|True
3|4.105263157894737|True
2|4.105263157894737|True
1|0.1578947368421052|True
3|0|True
2|0|True
3|1.105263157894737|True
2|0.5263157894736842|True
1|1.2105263157894735|True
2|1.2105263157894735|True
2|1.2105263157894735|True
2|0.21052631578947345|True
3|0|True
2|1.263157894736842|True
3|2.3157894736842106|True
2|2.3157894736842106|True
2|1.7368421052631577|True
3|1.7368421052631577|True
2|0.3157894736842104|True
3|1.473684210526316|True
2|2.578947368421053|True
3|2.263157894736842|True
2|0|True
2|0.21052631578947378|True
2|0.21052631578947378|True
2|0.21052631578947378|True
2|-0.631578947368421|True
2|-0.631578947368421|True
3|0.8947368421052632|True
2|0|True
3|1.9473684210526314|True
2|0|True
2|0|True
3|0|True
2|0.1578947368421052|True
1|1.3157894736842106|True
3|4.684210526315789|True
1|4.631578947368421|True
2|4.631578947368421|True
1|0|True
3|0|True
2|0|True
3|4.473684210526316|True
0|4.473684210526316|True
1|4.7894736842105265|True
3|4.7894736842105265|True
2|4.368421052631579|True
1|4.7894736842105265|True
3|3.526315789473684|True
2|0|True
1|0|True
3|1.5789473684210527|True
2|1.5789473684210527|True
1|0|True
3|0|True
2|0|True
2|2.0526315789473686|True
2|0|True
2|2.473684210526316|True
2|1.473684210526316|True
2|1.473684210526316|True
2|1.473684210526316|True
2|1.473684210526316|True
2|1.473684210526316|True
2|1.473684210526316|True
3|2.473684210526316|True
2|2.473684210526316|True
3|0.4736842105263156|True
2|0|True
2|0.736842105263158|True
3|0.736842105263158|True
2|1.473684210526316|True
1|1.473684210526316|True
0|4.7894736842105265|True
1|4.7894736842105265|True
3|0.5789473684210528|True
1|0|True
2|0|True
1|0|True
3|1.0526315789473684|True
2|1.105263157894737|True
2|0|True
2|0|True
2|0|True
2|-1|True
2|-1|True
2|-1|True
2|-1|True
2|-0.7368421052631576|True
2|-0.7368421052631576|True
2|-1|True
3|0|True
2|0|True
3|0|True
2|0.8421052631578946|True
1|0.8421052631578946|True
0|0|True
1|0.0|True
1|3.2105263157894735|True
1|3.1578947368421053|True
1|3.1578947368421053|False
